ID,count_00,count_01,count_02,count_03,count_04,count_05,count_06,count_07,count_08,count_09,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,sum,perc_0,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9,perc_10,perc_11,perc_12,perc_13,perc_14,perc_15,perc_16,perc_17
BEN05_0040_t,0,0,0,0,134,14,50,0,0,20,0,0,0,0,0,0,23,0,241,0,0,0,0,55.6,5.81,20.75,0,0,8.3,0,0,0,0,0,0,9.54,0
BEN05_0032_t,0,0,0,0,139,0,61,0,0,83,0,0,0,0,0,0,28,0,311,0,0,0,0,44.69,0,19.61,0,0,26.69,0,0,0,0,0,0,9,0
BEN05_0034_t,0,0,0,0,134,19,34,0,0,67,0,0,0,0,0,0,0,0,254,0,0,0,0,52.76,7.48,13.39,0,0,26.38,0,0,0,0,0,0,0,0
BEN05_0015_t,0,0,0,0,267,0,24,0,0,86,0,19,0,0,0,0,0,0,396,0,0,0,0,67.42,0,6.06,0,0,21.72,0,4.8,0,0,0,0,0,0
BEN05_0010_t,0,0,0,0,230,36,35,0,0,26,0,19,0,0,0,0,43,0,389,0,0,0,0,59.13,9.25,9,0,0,6.68,0,4.88,0,0,0,0,11.05,0
BEN05_0020_t,0,0,0,0,236,35,33,0,0,40,0,47,0,0,0,0,0,0,391,0,0,0,0,60.36,8.95,8.44,0,0,10.23,0,12.02,0,0,0,0,0,0
BEN05_0021_t,0,0,0,0,190,0,38,0,0,36,0,70,0,0,0,0,0,0,334,0,0,0,0,56.89,0,11.38,0,0,10.78,0,20.96,0,0,0,0,0,0
BEN05_0026_t,0,0,0,0,165,0,32,0,0,91,0,32,0,0,0,0,32,0,352,0,0,0,0,46.88,0,9.09,0,0,25.85,0,9.09,0,0,0,0,9.09,0
BEN05_0036_t,0,0,0,0,191,0,58,0,0,72,0,23,0,0,0,0,44,0,388,0,0,0,0,49.23,0,14.95,0,0,18.56,0,5.93,0,0,0,0,11.34,0
BEN05_0041_t,0,0,0,0,188,0,47,0,0,54,0,18,0,0,0,0,20,0,327,0,0,0,0,57.49,0,14.37,0,0,16.51,0,5.5,0,0,0,0,6.12,0
BEN05_0030_t,0,0,0,0,148,0,36,0,0,35,0,0,0,0,0,0,26,0,245,0,0,0,0,60.41,0,14.69,0,0,14.29,0,0,0,0,0,0,10.61,0
BEN07_1_0003_t,0,922,649,539,1431,0,497,643,0,0,0,0,0,0,0,0,0,303,4984,0,18.5,13.02,10.81,28.71,0,9.97,12.9,0,0,0,0,0,0,0,0,0,6.08
BEN07_1_0002_t,0,884,660,387,1258,0,528,735,0,0,297,0,0,0,0,0,0,0,4749,0,18.61,13.9,8.15,26.49,0,11.12,15.48,0,0,6.25,0,0,0,0,0,0,0
BEN07_2_0002_t,0,851,462,337,1450,0,428,428,0,0,319,0,0,0,0,0,0,0,4275,0,19.91,10.81,7.88,33.92,0,10.01,10.01,0,0,7.46,0,0,0,0,0,0,0
BEN07_2_0004_t,0,858,848,607,1868,0,644,564,0,0,0,0,0,0,0,0,0,307,5696,0,15.06,14.89,10.66,32.79,0,11.31,9.9,0,0,0,0,0,0,0,0,0,5.39
BEN17_0001_t,0,3545,0,0,422,0,410,0,0,0,0,0,0,0,0,0,197,0,4574,0,77.5,0,0,9.23,0,8.96,0,0,0,0,0,0,0,0,0,4.31,0
BEN17_0000_t,0,1696,0,0,473,0,1024,0,0,339,0,862,0,0,0,0,0,0,4394,0,38.6,0,0,10.76,0,23.3,0,0,7.72,0,19.62,0,0,0,0,0,0
BM05_0000_t,423,0,457,0,0,0,0,0,0,0,0,0,2430,633,0,0,0,0,3943,10.73,0,11.59,0,0,0,0,0,0,0,0,0,61.63,16.05,0,0,0,0
BM13_0004_t,665,0,0,0,448,1088,0,2280,0,1234,470,0,0,0,0,0,862,0,7047,9.44,0,0,0,6.36,15.44,0,32.35,0,17.51,6.67,0,0,0,0,0,12.23,0
BM13_0006_t,917,0,0,0,366,1291,0,2618,0,1428,298,0,0,0,0,0,0,0,6918,13.26,0,0,0,5.29,18.66,0,37.84,0,20.64,4.31,0,0,0,0,0,0,0
BM14_0004_t,1016,733,0,0,416,1311,0,0,0,1404,898,2572,0,0,0,0,0,0,8350,12.17,8.78,0,0,4.98,15.7,0,0,0,16.81,10.75,30.8,0,0,0,0,0,0
BM14_0006_t,0,1056,0,0,327,1435,0,0,0,2399,952,2166,0,0,0,0,0,0,8335,0,12.67,0,0,3.92,17.22,0,0,0,28.78,11.42,25.99,0,0,0,0,0,0
BM15_0000_t,0,0,0,0,1813,0,673,433,0,0,540,464,0,0,0,1380,0,0,5303,0,0,0,0,34.19,0,12.69,8.17,0,0,10.18,8.75,0,0,0,26.02,0,0
BM15_0001_t,0,0,0,0,160,0,308,765,0,0,255,408,0,0,0,160,0,0,2056,0,0,0,0,7.78,0,14.98,37.21,0,0,12.4,19.84,0,0,0,7.78,0,0
BM15_0002_t,0,0,0,0,462,0,712,925,0,0,442,0,0,0,0,1313,0,0,3854,0,0,0,0,11.99,0,18.47,24,0,0,11.47,0,0,0,0,34.07,0,0
BM17_0001_t,1860,0,790,0,523,0,0,0,276,0,768,0,0,180,0,388,0,0,4785,38.87,0,16.51,0,10.93,0,0,0,5.77,0,16.05,0,0,3.76,0,8.11,0,0
BM17_0000_t,742,0,2570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,3669,20.22,0,70.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73
BM22_0006_t,312,0,162,0,284,0,0,0,0,0,0,0,1442,188,0,135,129,0,2652,11.76,0,6.11,0,10.71,0,0,0,0,0,0,0,54.37,7.09,0,5.09,4.86,0
BM22_0004_t,795,0,889,0,0,1277,0,1520,0,0,0,0,588,333,0,683,872,0,6957,11.43,0,12.78,0,0,18.36,0,21.85,0,0,0,0,8.45,4.79,0,9.82,12.53,0
BM22_0002_t,462,0,869,0,0,1431,0,1684,0,0,390,0,433,322,0,0,1043,0,6634,6.96,0,13.1,0,0,21.57,0,25.38,0,0,5.88,0,6.53,4.85,0,0,15.72,0
BM22_0008_t,244,0,270,0,363,132,0,0,0,0,252,0,1299,0,0,0,124,0,2684,9.09,0,10.06,0,13.52,4.92,0,0,0,0,9.39,0,48.4,0,0,0,4.62,0
BM26_0031_t,0,0,936,0,0,0,0,0,49,0,125,0,0,0,0,0,0,0,1110,0,0,84.32,0,0,0,0,0,4.41,0,11.26,0,0,0,0,0,0,0
BM26_0030_t,0,0,1076,0,148,0,0,0,70,0,66,0,0,0,0,0,0,54,1414,0,0,76.1,0,10.47,0,0,0,4.95,0,4.67,0,0,0,0,0,0,3.82
BM27_0004_t,1537,0,0,849,0,0,0,0,0,0,643,0,0,0,0,3619,526,984,8158,18.84,0,0,10.41,0,0,0,0,0,0,7.88,0,0,0,0,44.36,6.45,12.06
BM27_0002_t,896,0,0,1063,0,0,0,0,0,0,574,0,0,0,0,4742,830,792,8897,10.07,0,0,11.95,0,0,0,0,0,0,6.45,0,0,0,0,53.3,9.33,8.9
BM29_0003_t,622,0,0,1551,1723,0,0,0,673,0,0,0,1206,698,0,0,0,750,7223,8.61,0,0,21.47,23.85,0,0,0,9.32,0,0,0,16.7,9.66,0,0,0,10.38
BM29_0002_t,280,0,0,929,616,0,0,0,0,0,0,0,2333,742,0,0,0,551,5451,5.14,0,0,17.04,11.3,0,0,0,0,0,0,0,42.8,13.61,0,0,0,10.11
BM32_0004_t,0,0,770,0,0,3983,0,1977,0,0,0,0,629,711,0,661,0,0,8731,0,0,8.82,0,0,45.62,0,22.64,0,0,0,0,7.2,8.14,0,7.57,0,0
BM32_0006_t,0,0,607,0,0,3954,0,2183,0,0,1089,0,855,523,0,0,0,0,9211,0,0,6.59,0,0,42.93,0,23.7,0,0,11.82,0,9.28,5.68,0,0,0,0
BM32_0007_t,0,0,425,0,0,1061,0,1241,0,0,1286,0,460,363,0,0,0,0,4836,0,0,8.79,0,0,21.94,0,25.66,0,0,26.59,0,9.51,7.51,0,0,0,0
BM32_0008_t,0,0,494,0,0,1256,0,1635,0,0,1268,0,439,556,0,0,0,0,5648,0,0,8.75,0,0,22.24,0,28.95,0,0,22.45,0,7.77,9.84,0,0,0,0
