,P1,P2,P3,ID,class,perc_0,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9,perc_10,perc_11,perc_12,perc_13,perc_14,perc_15,perc_16,perc_17,gt,hcluster_nonpca,hcluster_pca,kcluster_nonpca,kcluster_pca
305,-12.863493341100485,-2.5700957561779094,-13.936351315161382,GMBC08_0000_t,6.0,14.58,0.0,15.86,0.0,10.04,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.59,0.0,unclassified,1,0,2,6
306,-5.715965427611665,12.000438217086156,-0.5669900149651607,GMBC08_0001_t,0.0,0.0,0.0,11.58,0.0,16.15,8.07,9.91,0.0,0.0,0.0,0.0,34.2,0.0,0.0,0.0,11.58,8.51,0.0,blue_green,2,0,6,0
307,-11.633617809298169,2.3364398839845304,-8.966975055340303,GMBC08_0002_t,0.0,8.19,0.0,11.32,0.0,10.61,7.18,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,6.82,36.38,0.0,blue_green,2,0,2,0
308,5.262100470049852,-8.638010106001772,11.062448788952985,GMBC08_0003_t,4.0,5.54,0.0,0.0,7.28,24.17,0.0,3.68,0.0,0.0,0.0,0.0,6.18,0.0,0.0,53.15,0.0,0.0,0.0,red_white_bluegreen,1,3,2,2
309,-26.12873008185699,0.708569394913865,-22.725228805419757,GMBC09_0000_t,3.0,6.22,0.0,32.74,0.0,0.0,23.47,0.0,20.83,0.0,0.0,8.58,0.0,0.0,0.0,0.0,8.15,0.0,0.0,blue_red_green,1,0,2,6
310,-26.566335300052835,3.882867033297121,-23.073001145380164,GMBC09_0001_t,6.0,0.0,0.0,30.13,0.0,0.0,35.46,0.0,13.7,0.0,0.0,7.88,0.0,0.0,0.0,0.0,12.82,0.0,0.0,unclassified,1,0,1,6
311,-12.206093508388557,8.846110935102745,-14.719895311657949,GMBC09_0002_t,3.0,10.67,0.0,12.01,0.0,12.71,43.54,0.0,0.0,0.0,0.0,0.0,11.55,0.0,0.0,0.0,9.53,0.0,0.0,blue_red_green,6,0,1,0
312,-17.72163212233803,16.62961344067981,-5.093210281767773,GMBC10_0000_t,3.0,21.97,0.0,9.73,0.0,6.08,33.07,17.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.44,0.0,0.0,blue_red_green,6,0,1,0
313,3.249578025480204,20.824965945707817,1.6400199507333943,GMBC10_0001_t,3.0,0.0,0.0,12.65,0.0,26.34,23.04,27.37,0.0,0.0,0.0,10.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blue_red_green,1,3,1,0
314,-24.737326493844257,1.0315665698576724,-18.84934542163548,GMBC10_0002_t,3.0,21.33,0.0,21.67,0.0,0.0,23.11,0.0,13.34,0.0,0.0,13.16,0.0,0.0,0.0,0.0,7.39,0.0,0.0,blue_red_green,1,0,2,6
315,-24.90105493969207,-1.62756968351841,-20.60862458217473,GMBC10_0003_t,3.0,18.54,0.0,28.41,0.0,0.0,14.28,0.0,16.2,0.0,0.0,9.2,0.0,0.0,0.0,0.0,13.37,0.0,0.0,blue_red_green,1,0,2,6
316,-12.93336042498455,-34.71152168698255,32.962985995413156,GMBC12_0000_t,4.0,0.0,0.0,3.61,50.49,8.74,0.0,0.0,0.0,11.88,0.0,4.55,0.0,0.0,0.0,20.74,0.0,0.0,0.0,red_white_bluegreen,5,4,5,3
317,-10.459869647854177,-1.7561718472511667,-8.230328579188427,GMBC12_0001_t,0.0,5.9,38.61,12.01,0.0,11.94,0.0,0.0,10.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.23,12.88,0.0,blue_green,2,0,6,0
318,-19.116895949858286,-2.805542169880074,-13.50186513985765,GMBC12_0002_t,0.0,0.0,24.35,21.37,0.0,4.1,0.0,0.0,10.38,0.0,0.0,8.27,0.0,0.0,0.0,0.0,13.08,18.46,0.0,blue_green,2,5,2,6
319,-12.316387165720892,0.289300747620245,-18.379273184297965,GMBC13_0001_t,6.0,8.7,0.0,31.84,0.0,12.85,13.89,0.0,0.0,0.0,0.0,5.43,14.37,0.0,0.0,0.0,0.0,12.93,0.0,unclassified,1,0,2,6
320,-9.838940537859083,9.088880362104458,-7.859125869175809,GMBC13_0002_t,6.0,16.73,0.0,15.35,0.0,13.58,17.91,12.89,0.0,0.0,0.0,9.74,0.0,0.0,0.0,0.0,0.0,13.78,0.0,unclassified,1,0,2,0
